Nom de la Station,Nom de la ligne,Niveau de pollution,pollution_num,stop_lat,stop_lon
Miromesnil,Métro 13,FAIBLE,1,48.87344791579522,2.3160106931210245
Monceau,Métro 2,MOYENNE,2,48.88056877012684,2.309412967374703
Montparnasse Bienvenue,Métro 12,MOYENNE,2,48.84374228942691,2.32392211008296
Nation,Métro 2,MOYENNE,2,48.84845279707999,2.395798835112525
Oberkampf,Métro 9,ELEVE,3,48.86477709852134,2.3681558453945515
Parmentier,Métro 3,MOYENNE,2,48.86524326053047,2.3747205969196896
Pierre et Marie Curie,Métro 7,MOYENNE,2,48.81583650099709,2.377246886036494
Porte de Choisy,Métro 7,FAIBLE,1,48.82005592914816,2.3646785940494577
Porte de la Chapelle,Métro 12,FAIBLE,1,48.89740242267042,2.359248542310361
Porte de Vincennes,Métro 1,MOYENNE,2,48.84700773108863,2.4108049967015006
Porte des Lilas,Métro 3B,MOYENNE,2,48.87663999703494,2.4069512666209
Porte d'Italie,Métro 7,FAIBLE,1,48.81910659655869,2.3595297331071694
Pré-Saint-Gervais,Métro 7B,MOYENNE,2,48.8801595806643,2.398580770693528
République,Métro 8,MOYENNE,2,48.86742161002706,2.363149406900382
Richard-Lenoir,Métro 5,MOYENNE,2,48.85987693786871,2.371813630476951
Richelieu - Drouot,Métro 8,MOYENNE,2,48.87173920910264,2.3384190255427955
Riquet,Métro 7,FAIBLE,1,48.88810829453359,2.373764152701256
Saint-Lazare,Métro 12,MOYENNE,2,48.875594817796994,2.327470237303278
Saint-Lazare,Métro 13,FAIBLE,1,48.87538131600797,2.325488390672613
Saint-Lazare,Métro 14,MOYENNE,2,48.87566085467199,2.3240258961246782
Saint-Paul (Le Marais),Métro 1,FAIBLE,1,48.85518742160445,2.3608852562751967
Saint-Sébastien - Froissart,Métro 8,FAIBLE,1,48.86098670797991,2.367370357789606
Simplon,Métro 4,FAIBLE,1,48.8938152613519,2.347794968187123
Tolbiac,Métro 7,MOYENNE,2,48.82615323734341,2.357018567738162
Victor Hugo,Métro 2,MOYENNE,2,48.8698545716049,2.2859020006220643
Villejuif - Louis Aragon,Métro 7,MOYENNE,2,48.78753717099888,2.36783901176962
Villiers,Métro 3,MOYENNE,2,48.88107318307563,2.315815092646378
Alma - Marceau,Métro 9,MOYENNE,2,48.86464714790582,2.30110435239267
Anatole France,Métro 3,FAIBLE,1,48.892206617614,2.28498169634032
Barbara,Métro 4,FAIBLE,1,48.80979025430712,2.3174992240284045
Billancourt,Métro 9,MOYENNE,2,48.83191997405451,2.237891101038026
