Identifiant station,Nom de la Station,Nom de la ligne,Niveau de pollution aux particules,Niveau de pollution,Incertitude,Recommandation de surveillance,Action(s) QAI en cours,stop_lon,stop_lat,air,niveau_pollution
IDFM:22025,Rue Saint-Maur,Métro 3,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.380486332251813,48.86413108020325,,pollution moyenne
IDFM:21943,Croix de Chavaux,Métro 9,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.4358546126745826,48.857992585158016,,pollution moyenne
IDFM:22073,Nation,Métro 6,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.3958598043279085,48.84789550545761,,pollution moyenne
IDFM:22376,Palais Royal - Musée du Louvre,Métro 7,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.337007354765684,48.86268399776967,,pollution moyenne
IDFM:462957,Miromesnil,Métro 9,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.3146768238242688,48.87369210197914,,pollution moyenne
IDFM:463081,Madeleine,Métro 12,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.325169929034193,48.87003294090397,,pollution faible
IDFM:463137,Boulogne Jean Jaurès,Métro 10,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.239077780728926,48.841991575324506,,pollution moyenne
IDFM:22020,Père Lachaise,Métro 3,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.386157046298338,48.86296417435419,,pollution moyenne
IDFM:22217,Saint-François-Xavier,Métro 13,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.314407403528732,48.8512787565696,,pollution moyenne
IDFM:22095,Charles de Gaulle - Etoile,Métro 6,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.294995735441831,48.87383861478572,,pollution moyenne
IDFM:463072,Réaumur - Sébastopol,Métro 4,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.352381731140252,48.866077771215046,,pollution faible
IDFM:22193,Invalides,Métro 8,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.3146326604445164,48.86109201138112,,pollution faible
IDFM:463230,Philippe Auguste,Métro 2,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.390497596745289,48.85808942813576,,pollution moyenne
IDFM:22014,Bobigny-Pantin - Raymond Queneau,Métro 5,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.426308679232036,48.89560207433252,,pollution moyenne
IDFM:21925,Oberkampf,Métro 9,pollution élevée,ELEVE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",oui,Action(s) d'amélioration de la qualité de l'air en cours,2.3681558453945515,48.86477709852134,,pollution élevée
IDFM:22079,Palais Royal - Musée du Louvre,Métro 1,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.336454367754252,48.86222226557415,,pollution moyenne
IDFM:462959,Vaneau,Métro 10,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.321351242354736,48.84889457005888,,pollution moyenne
IDFM:463267,Tolbiac,Métro 7,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.357018567738162,48.82615323734341,,pollution moyenne
IDFM:22194,Madeleine,Métro 8,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.3260272117729994,48.86956561611772,,pollution moyenne
IDFM:463240,Monceau,Métro 2,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.309412967374703,48.88056877012684,,pollution moyenne
IDFM:22442,Rue des Boulets,Métro 9,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.3891047050322425,48.85221407333194,,pollution moyenne
IDFM:22166,Pasteur,Métro 6,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.312792651441268,48.842482718285865,,pollution moyenne
IDFM:22061,Corentin Celton,Métro 12,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.2789586605256367,48.82682329515912,,pollution moyenne
IDFM:462993,Saint-Germain-des-Prés,Métro 4,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.333987429134225,48.85367371343323,,pollution faible
IDFM:21948,Pelleport,Métro 3B,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.40160636134298,48.86842046799948,,pollution moyenne
IDFM:463308,Saint-Placide,Métro 4,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.327054815066312,48.84700665158937,,pollution faible
IDFM:480330,Mairie de Saint-Ouen,Métro 14,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.333545807213269,48.91164217552501,,pollution moyenne
IDFM:463078,Jussieu,Métro 7,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.354798309820857,48.84596333903808,,pollution moyenne
IDFM:490793,Rosny-Bois-Perrier,Métro 11,pas de données,pas de données,Évaluation : impossible faute d’informations,non,,2.480609800808591,48.88302567942574,,pas de données
IDFM:24680,Jaurès,Métro 7B,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.370451734004561,48.88234423020823,,pollution moyenne
IDFM:22019,Parmentier,Métro 3,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.3747205969196896,48.86524326053047,,pollution moyenne
IDFM:463075,Dugommier,Métro 6,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.3895997700798097,48.83903652832887,,pollution moyenne
IDFM:21920,Strasbourg - Saint-Denis,Métro 9,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.3537315826731837,48.869349679171926,,pollution moyenne
IDFM:21906,Havre-Caumartin,Métro 3,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.327462798423509,48.87346783937801,,pollution faible
IDFM:463152,Corentin Cariou,Métro 7,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.382291557164633,48.89467266005628,,pollution faible
IDFM:463220,Mairie d'Ivry,Métro 7,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.383498053635828,48.811210093393306,,pollution moyenne
IDFM:21994,Arts et Métiers,Métro 3,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.3567233472754983,48.86553459885931,,pollution faible
