station                                , cluster, pollution, lat               , lon
Maisons-Alfort - Stade                 ,       2,       2.0, 48.80891847848263 , 2.434819533389365
Marcadet - Poissonniers                ,       0,       1.0, 48.89127969913649 , 2.3495451670385634
Marcadet - Poissonniers                ,       0,       2.0, 48.89154760285429 , 2.3500246218070155
Marx Dormoy                            ,       0,       2.0, 48.89057957856722 , 2.359808478084024
Michel-Ange - Molitor                  ,       1,          , 48.844880488259605, 2.261631583355701
Michel-Ange - Molitor                  ,       1,       2.0, 48.84515597018703 , 2.2618218573220084
Montparnasse Bienvenue                 ,       1,       2.0, 48.84231364506487 , 2.320983883036087
Montparnasse Bienvenue                 ,       1,       2.0, 48.84213060781436 , 2.3212187199903807
Montparnasse Bienvenue                 ,       1,       2.0, 48.84374228942691 , 2.32392211008296
Montparnasse Bienvenue                 ,       1,       1.0, 48.84385251452581 , 2.3243294607791096
Nation                                 ,       0,       2.0, 48.848084289973976, 2.3958439887237373
Nation                                 ,       0,       2.0, 48.84789550545761 , 2.3958598043279085
Nation                                 ,       0,       2.0, 48.84845279707999 , 2.395798835112525
Nation                                 ,       0,       2.0, 48.84888521841715 , 2.3959437210498136
Notre-Dame des Champs                  ,       1,       1.0, 48.84508150807547 , 2.328564944227944
Palais Royal - Musée du Louvre         ,       0,       2.0, 48.86268399776967 , 2.337007354765684
Palais Royal - Musée du Louvre         ,       0,       2.0, 48.86222226557415 , 2.336454367754252
Pasteur                                ,       1,       2.0, 48.84282366881032 , 2.3126518981045816
Pasteur                                ,       1,       2.0, 48.842482718285865, 2.312792651441268
Père Lachaise                          ,       0,       2.0, 48.86296417435419 , 2.386157046298338
Père Lachaise                          ,       0,          , 48.86248637862667 , 2.387689326065689
Place de Clichy                        ,       0,       2.0, 48.88366908827266 , 2.32795832801022
Place de Clichy                        ,       0,       1.0, 48.88373789022764 , 2.327398345647013
Place d'Italie                         ,       0,       2.0, 48.830991153013954, 2.3560502682264337
Place d'Italie                         ,       0,       2.0, 48.83096622708413 , 2.35559694336975
Place d'Italie                         ,       0,       2.0, 48.83154938471729 , 2.355330902236442
Pont Neuf                              ,       0,       1.0, 48.85854633926832 , 2.341776749148542
Porte de Clichy                        ,       0,       2.0, 48.89443128801746 , 2.31320835075881
Porte de Clichy                        ,       0,       2.0, 48.89428867785142 , 2.313431869544054
Porte de la Villette                   ,       0,       2.0, 48.89780269235572 , 2.385869033143345
Porte de Saint-Ouen                    ,       0,       1.0, 48.89749783732745 , 2.3290483407446505
Porte Dorée                            ,       2,       2.0, 48.8350662204656  , 2.405749381400099
Porte d'Orléans                        ,       1,       2.0, 48.82339460262072 , 2.325623760353114
Pyrénées                               ,       0,       2.0, 48.87381265491752 , 2.384883957748741
Réaumur - Sébastopol                   ,       0,       2.0, 48.86628268363084 , 2.3520239377964742
Réaumur - Sébastopol                   ,       0,       1.0, 48.866077771215046, 2.352381731140252
République                             ,       0,       2.0, 48.867687468165165, 2.3640990472225725
République                             ,       0,       2.0, 48.86788497134881 , 2.3648796725347783
République                             ,       0,       2.0, 48.86751235781114 , 2.3633023407804536
République                             ,       0,       2.0, 48.86742161002706 , 2.363149406900382
République                             ,       0,       2.0, 48.86720306822776 , 2.364333297545428
Saint-Fargeau                          ,       0,       2.0, 48.87184337222297 , 2.4044981831688688
Saint-Mandé                            ,       0,       2.0, 48.84622934735893 , 2.418989706343808
Sentier                                ,       0,       2.0, 48.86728343166051 , 2.347513710821989
Sèvres - Babylone                      ,       1,       2.0, 48.85156530639137 , 2.326859663121737
Sèvres - Babylone                      ,       1,       2.0, 48.85093150598804 , 2.326104689925573
Strasbourg - Saint-Denis               ,       0,       2.0, 48.86938572399119 , 2.353744768129407
Strasbourg - Saint-Denis               ,       0,       2.0, 48.869349679171926, 2.353731582673184
Strasbourg - Saint-Denis               ,       0,       1.0, 48.86962358263758 , 2.354491616563834
Télégraphe                             ,       0,       2.0, 48.87551038418075 , 2.3986480899605933
Temple                                 ,       0,       2.0, 48.86668483219092 , 2.361589378332189
Ternes                                 ,       1,       2.0, 48.8782007528283  , 2.2981136521983068
Vavin                                  ,       1,       1.0, 48.84205232329236 , 2.3288628540691043
Villejuif Léo Lagrange                 ,       0,       2.0, 48.80436739901952 , 2.364068547658874
Villejuif Paul Vaillant-Couturier      ,       0,       2.0, 48.79631793416014 , 2.3683316015776423
Volontaires                            ,       1,       2.0, 48.84141172841498 , 2.3079833805768515
Abbesses                               ,       0,       1.0, 48.88439271799143 , 2.338394635220906
Anvers                                 ,       0,       2.0, 48.882868568843925, 2.344154840330292
Asnières - Gennevilliers Les Courtilles,       0,       1.0, 48.93060364140038 , 2.284372100658843
Assemblée Nationale                    ,       1,       2.0, 48.861122050080816, 2.3206896796944263
Basilique de Saint-Denis               ,       0,       2.0, 48.93678306532419 , 2.3592958408126816
Bibliothèque François Mitterrand       ,       0,       1.0, 48.829925765928905, 2.376487371168301
Bobigny Pablo Picasso                  ,       0,       2.0, 48.90636679503056 , 2.449301336646573
Chemin Vert                            ,       0,       1.0, 48.85708736782028 , 2.368095085385991
Colonel Fabien                         ,       0,       2.0, 48.877695345805535, 2.370576102819657
Commerce                               ,       1,       1.0, 48.84458485524012 , 2.293851708440619
Corentin Cariou                        ,       0,       1.0, 48.89467266005628 , 2.382291557164633
Cour Saint-Emilion                     ,       0,       1.0, 48.83331930384343 , 2.386617850214058
Daumesnil                              ,       0,       2.0, 48.83967393140864 , 2.395573606140371
Daumesnil                              ,       0,       2.0, 48.839537421644565, 2.396146067915452
Filles du Calvaire                     ,       0,       1.0, 48.86308830188695 , 2.366826859795412
Franklin D. Roosevelt                  ,       1,       1.0, 48.8691648256349  , 2.309359666519628
Franklin D. Roosevelt                  ,       1,       2.0, 48.86872488799857 , 2.309488192337113
Gaîté                                  ,       1,       1.0, 48.83852608502253 , 2.3223539967788067
Guy Môquet                             ,       0,       1.0, 48.8930014419616  , 2.327483258626126
Hôtel de Ville                         ,       0,       1.0, 48.85735240518587 , 2.3520676701391
Hôtel de Ville                         ,       0,       2.0, 48.85760073633446 , 2.3514239919428728
Jourdain                               ,       0,       1.0, 48.875247348641416, 2.389325378910096
La Courneuve - 8 Mai 1945              ,       0,       2.0, 48.92024579662936 , 2.4102214036405085
La Défense (Grande Arche)              ,       1,       1.0, 48.89181786646099 , 2.237988183098828
Les Halles                             ,       0,       1.0, 48.86252665962869 , 2.34600573656331
Liberté                                ,       2,       2.0, 48.82608032193611 , 2.406409459132366
Louis Blanc                            ,       0,       2.0, 48.88124182075271 , 2.3643562491890786
Louis Blanc                            ,       0,       2.0, 48.88118341152446 , 2.364365143550256
Louise Michel                          ,       0,       2.0, 48.88853900119613 , 2.2882778490679767
Lourmel                                ,       1,       1.0, 48.83866086365992 , 2.2822419598550767
Mabillon                               ,       1,       1.0, 48.85284373829949 , 2.335142819346476
Mairie de Montreuil                    ,       0,       2.0, 48.8622744369706  , 2.4418193772459085
Maison Blanche                         ,       2,       2.0, 48.82214950607496 , 2.358412946155939
Maison Blanche                         ,       2,       2.0, 48.82120786862075 , 2.3589182598590392
Maraîchers                             ,       0,       2.0, 48.85265013095636 , 2.4060490065790447
Marcel Sembat                          ,       1,       2.0, 48.83359298218974 , 2.243583048618053
Ménilmontant                           ,       0,       2.0, 48.866440166781686, 2.38353966877949
Miromesnil                             ,       1,       2.0, 48.87369210197914 , 2.3146768238242688
Miromesnil                             ,       1,       1.0, 48.87344791579522 , 2.3160106931210245
Mouton-Duvernet                        ,       1,       1.0, 48.831382009093616, 2.32979034782274
Notre-Dame-de-Lorette                  ,       0,       2.0, 48.87604417483004 , 2.337900771823332
Oberkampf                              ,       0,          , 48.86464456516527 , 2.3686045625807752
Oberkampf                              ,       0,          , 48.86477709852134 , 2.3681558453945515
Odéon                                  ,       1,       2.0, 48.8519477060765  , 2.340619126473996
Odéon                                  ,       1,       1.0, 48.85210334038093 , 2.339486020317896
Olympiades                             ,       0,       2.0, 48.82694415504304 , 2.367034270941924
Pereire                                ,       0,       2.0, 48.88492986463719 , 2.297701123838181
Picpus                                 ,       0,       2.0, 48.84510324750185 , 2.401274538822374
Pigalle                                ,       0,          , 48.88226954222623 , 2.338257976509587
Pigalle                                ,       0,       2.0, 48.88201178841109 , 2.3371840091053384
Pont de Neuilly                        ,       1,       2.0, 48.88548938897471 , 2.258495429369125
Porte Dauphine                         ,       1,       2.0, 48.87139679524832 , 2.277632717545272
Porte des Lilas                        ,       0,       1.0, 48.87723143067265 , 2.4065226763982275
Porte des Lilas                        ,       0,       2.0, 48.87663999703494 , 2.4069512666209
Pyramides                              ,       0,       1.0, 48.86588028991413 , 2.334417535966556
Pyramides                              ,       0,       1.0, 48.86575552737676 , 2.3346236060049232
Quatre Septembre                       ,       0,       2.0, 48.86959592111917 , 2.3362786423248583
Raspail                                ,       1,       1.0, 48.83915635952557 , 2.330466993719873
Raspail                                ,       1,       2.0, 48.8390661288004  , 2.33041447123548
Rennes                                 ,       1,       2.0, 48.84819024311401 , 2.32802068556793
Reuilly - Diderot                      ,       0,       1.0, 48.84734982784612 , 2.3858367760086865
Reuilly - Diderot                      ,       0,       2.0, 48.84721292669797 , 2.387201070409392
Rue Saint-Maur                         ,       0,       2.0, 48.86413108020325 , 2.380486332251813
Saint-Lazare                           ,       0,       2.0, 48.87496650103443 , 2.3244924701707954
Saint-Lazare                           ,       0,       2.0, 48.875594817796994, 2.327470237303278
Saint-Lazare                           ,       0,       1.0, 48.87538131600797 , 2.325488390672613
Saint-Lazare                           ,       0,       2.0, 48.87566085467199 , 2.3240258961246782
Saint-Marcel                           ,       0,       2.0, 48.83847698406796 , 2.3608176665940044
Saint-Ouen                             ,       0,       2.0, 48.90516956991565 , 2.3227559546697414
Trocadéro                              ,       1,       2.0, 48.86346147371448 , 2.287625377853519
Trocadéro                              ,       1,          , 48.863088061116   , 2.28683987979629
Tuileries                              ,       0,       1.0, 48.864477839314645, 2.3296780947116416
Villiers                               ,       0,       2.0, 48.88121227337839 , 2.31576144923934
Villiers                               ,       0,       2.0, 48.88107318307563 , 2.315815092646378
Wagram                                 ,       0,       2.0, 48.8838463907272  , 2.304673087584434
Alésia                                 ,       1,       1.0, 48.82815215770352 , 2.3271926250651647
Bagneux - Lucie Aubrac                 ,       1,       1.0, 48.80354822259104 , 2.317458362049886
Balard                                 ,       1,       2.0, 48.83666789483108 , 2.2783626618092008
Bastille                               ,       0,       2.0, 48.853425461693256, 2.3695064282002
Bastille                               ,       0,       2.0, 48.85196422011205 , 2.368692796099789
Bastille                               ,       0,       2.0, 48.85328747830434 , 2.368922075646989
Belleville                             ,       0,          , 48.87231407736167 , 2.3768306915222848
Belleville                             ,       0,       2.0, 48.87198955568015 , 2.376684607718542
Bercy                                  ,       0,       1.0, 48.84010199803391 , 2.379062015227724
Bercy                                  ,       0,       2.0, 48.840176028121896, 2.379463070185257
Bréguet-Sabin                          ,       0,       2.0, 48.85624405468632 , 2.370194668589752
Buttes Chaumont                        ,       0,       2.0, 48.87849908839857 , 2.381569842088008
Buzenval                               ,       0,       2.0, 48.85176243983227 , 2.401170769368413
Campo-Formio                           ,       0,       2.0, 48.83559543123327 , 2.358468834639247
Charonne                               ,       0,       2.0, 48.85500743705073 , 2.3848878986690423
Château d'Eau                          ,       0,       1.0, 48.87247308911766 , 2.355901449780536
Cité                                   ,       0,       2.0, 48.85493384910671 , 2.3472322349319112
Convention                             ,       1,       2.0, 48.83713505380496 , 2.2963913864809173
Crimée                                 ,       0,       2.0, 48.890814345621656, 2.3770380600019925
Dugommier                              ,       0,       2.0, 48.83903652832887 , 2.3895997700798097
Front Populaire                        ,       0,       2.0, 48.90666420278779 , 2.365792023989413
Gare de Lyon                           ,       0,       2.0, 48.84575948671397 , 2.373125016776689
Gare de Lyon                           ,       0,       2.0, 48.84467563174822 , 2.373100581933962
Garibaldi                              ,       0,       1.0, 48.906372391923206, 2.331962553647662
Iéna                                   ,       1,          , 48.86468583928868 , 2.293906396859107
Jules Joffrin                          ,       0,       1.0, 48.892492268201934, 2.3443200293804827
Jussieu                                ,       0,       2.0, 48.84596333903808 , 2.354798309820857
Jussieu                                ,       0,       1.0, 48.8462878950311  , 2.354944184375758
La Fourche                             ,       0,       1.0, 48.88742451051807 , 2.325686960766736
La Motte-Picquet - Grenelle            ,       1,       1.0, 48.849532805857095, 2.298684579816939
La Motte-Picquet - Grenelle            ,       1,       1.0, 48.84950618174656 , 2.298745444388579
La Motte-Picquet - Grenelle            ,       1,       2.0, 48.84876544812232 , 2.298957096977008
Le Kremlin-Bicêtre                     ,       0,       2.0, 48.81025257278989 , 2.362130413802561
Les Gobelins                           ,       0,       2.0, 48.83589170669027 , 2.3525311653622043
Mairie d'Issy                          ,       1,       2.0, 48.82434428766646 , 2.273558168023932
Michel-Ange - Auteuil                  ,       1,          , 48.84770893216831 , 2.2638093220226634
Michel-Ange - Auteuil                  ,       1,       2.0, 48.84797535417627 , 2.263989525333329
Monceau                                ,       0,       2.0, 48.88056877012684 , 2.309412967374703
Parmentier                             ,       0,       2.0, 48.86524326053047 , 2.3747205969196896
Pierre et Marie Curie                  ,       0,       2.0, 48.81583650099709 , 2.377246886036494
Porte de Choisy                        ,       0,       1.0, 48.82005592914816 , 2.3646785940494577
Porte de la Chapelle                   ,       0,       1.0, 48.89740242267042 , 2.359248542310361
Porte de Vincennes                     ,       0,       2.0, 48.84700773108863 , 2.4108049967015006
Porte d'Italie                         ,       0,       1.0, 48.81910659655869 , 2.3595297331071694
Pré-Saint-Gervais                      ,       0,       2.0, 48.8801595806643  , 2.398580770693528
Richard-Lenoir                         ,       0,       2.0, 48.85987693786871 , 2.371813630476951
Richelieu - Drouot                     ,       0,       2.0, 48.87173920910264 , 2.3384190255427955
Richelieu - Drouot                     ,       0,       2.0, 48.87213587031796 , 2.3385912215385414
Riquet                                 ,       0,       1.0, 48.88810829453359 , 2.373764152701256
Saint-Paul (Le Marais)                 ,       0,       1.0, 48.85518742160445 , 2.3608852562751967
Saint-Sébastien - Froissart            ,       0,       1.0, 48.86098670797991 , 2.367370357789606
Simplon                                ,       0,       1.0, 48.8938152613519  , 2.347794968187123
Tolbiac                                ,       0,       2.0, 48.82615323734341 , 2.357018567738162
Victor Hugo                            ,       1,       2.0, 48.8698545716049  , 2.2859020006220643
Villejuif - Louis Aragon               ,       0,       2.0, 48.78753717099888 , 2.36783901176962
Alma - Marceau                         ,       1,       2.0, 48.86464714790582 , 2.30110435239267
Anatole France                         ,       0,       1.0, 48.892206617614   , 2.28498169634032
Barbara                                ,       1,       1.0, 48.80979025430712 , 2.3174992240284045
Billancourt                            ,       1,       2.0, 48.83191997405451 , 2.237891101038026
Blanche                                ,       0,       2.0, 48.88376635447715 , 2.3324843754343627
Bonne Nouvelle                         ,       0,       2.0, 48.87048144580479 , 2.348496122542364
Bonne Nouvelle                         ,       0,       2.0, 48.87049007203075 , 2.348428667867017
Cadet                                  ,       0,       1.0, 48.87604838013132 , 2.344383883779656
Champs-Elysées - Clemenceau            ,       1,       1.0, 48.86758395955256 , 2.314397292025236
Champs-Elysées - Clemenceau            ,       1,       1.0, 48.86750083759083 , 2.31401668387612
Chardon Lagache                        ,       1,       1.0, 48.84508829917885 , 2.26690547594029
Château Landon                         ,       0,       2.0, 48.87844145573239 , 2.3620179355106075
Cluny - La Sorbonne                    ,       0,       2.0, 48.850793731720536, 2.3450218824744566
Corentin Celton                        ,       1,       2.0, 48.82682329515912 , 2.2789586605256367
Denfert-Rochereau                      ,       1,       2.0, 48.83424986732888 , 2.332803776289825
Denfert-Rochereau                      ,       1,       1.0, 48.83392232305997 , 2.332128160437612
Edgar Quinet                           ,       1,       2.0, 48.84098044632817 , 2.3253749636089105
Europe                                 ,       0,       1.0, 48.87875316404477 , 2.32218591952051
Fort d'Aubervilliers                   ,       0,       2.0, 48.91475665506255 , 2.404075377271855
Gabriel Péri                           ,       0,       2.0, 48.91634741814672 , 2.29460408001733
Havre-Caumartin                        ,       0,       2.0, 48.8737568325288  , 2.327677208279404
Havre-Caumartin                        ,       0,       1.0, 48.87346783937801 , 2.327462798423509
Hoche                                  ,       0,       2.0, 48.8914957494373  , 2.403114154894396
La Tour-Maubourg                       ,       1,       1.0, 48.85766922956403 , 2.310588789873988
Le Peletier                            ,       0,       1.0, 48.87485179367072 , 2.340206459456337
Ledru-Rollin                           ,       0,       2.0, 48.85133776679838 , 2.376141223318593
Louvre - Rivoli                        ,       0,       1.0, 48.86090733426327 , 2.3409964272720227
Mairie de Clichy                       ,       0,       2.0, 48.90349897462669 , 2.3058484063578857
Mairie de Saint-Ouen                   ,       0,       2.0, 48.91164217552501 , 2.333545807213269
Mairie de Saint-Ouen                   ,       0,       2.0, 48.911958864732505, 2.333893080685357
Mirabeau                               ,       1,       2.0, 48.84707750734599 , 2.2730641263728333
Montgallet                             ,       0,       1.0, 48.84400507570895 , 2.3904000136353645
Opéra                                  ,       0,       1.0, 48.87059812248669 , 2.332135072925294
Opéra                                  ,       0,       1.0, 48.87030303390994 , 2.3324387808144875
Opéra                                  ,       0,       2.0, 48.87150983278418 , 2.331128974301561
Ourcq                                  ,       0,          , 48.88714990283661 , 2.3866765356019912
Pernety                                ,       1,       1.0, 48.83416372097089 , 2.318323659736018
Poissonnière                           ,       0,       1.0, 48.87716484925024 , 2.3487397513900734
Pont Cardinet                          ,       0,       2.0, 48.8881023898884  , 2.3151908648850013
Pont de Sèvres                         ,       1,       2.0, 48.82966919074605 , 2.230505217088554
Porte de Charenton                     ,       2,       1.0, 48.83344922287947 , 2.402511872850073
Porte de Clignancourt                  ,       0,       2.0, 48.897525631278015, 2.344624099102791
Porte de Pantin                        ,       0,       2.0, 48.88845921134684 , 2.3921229723281483
Porte de Saint-Cloud                   ,       1,       2.0, 48.83799728287381 , 2.2567894964207142
Porte d'Ivry                           ,       0,       1.0, 48.82135298833688 , 2.369294978223312
Ranelagh                               ,       1,       2.0, 48.85550355839564 , 2.269948157934635
Rome                                   ,       0,       2.0, 48.88234581879614 , 2.3213591738229726
Rue des Boulets                        ,       0,       2.0, 48.85221407333194 , 2.3891047050322425
Saint-Ambroise                         ,       0,       2.0, 48.86141665790915 , 2.3738805382115475
Saint-Augustin                         ,       0,       2.0, 48.87454661293485 , 2.3210135978086
Saint-Denis - Université               ,       0,       2.0, 48.945911458883856, 2.364494290510317
Saint-François-Xavier                  ,       1,       2.0, 48.8512787565696  , 2.314407403528732
Saint-Philippe-du-Roule                ,       1,          , 48.87215513107743 , 2.3101372056878247
Saint-Placide                          ,       1,       1.0, 48.84700665158937 , 2.327054815066312
Ségur                                  ,       1,       2.0, 48.84716726999503 , 2.307137849403385
Solférino                              ,       1,       2.0, 48.85853194972854 , 2.323075964251541
Stalingrad                             ,       0,       2.0, 48.88437303056126 , 2.3688985490576733
Stalingrad                             ,       0,       2.0, 48.8841445128949  , 2.367348121277192
Stalingrad                             ,       0,       2.0, 48.88432054886986 , 2.365774370558169
Trinité - d'Estienne d'Orves           ,       0,       2.0, 48.87633650730735 , 2.333049172418236
Vaugirard                              ,       1,       1.0, 48.83953628376544 , 2.300977822126098
Voltaire                               ,       0,       2.0, 48.85766243438601 , 2.3800316941488044
Aimé Césaire                           ,       0,       1.0, 48.90843758066954 , 2.37813084516706
Alexandre Dumas                        ,       0,       2.0, 48.856199097341126, 2.394591418672128
Argentine                              ,       1,       1.0, 48.87566737659971 , 2.289435418542214
Aubervilliers-Pantin Quatre Chemins    ,       0,       2.0, 48.90375706036556 , 2.3922205712292195
Avenue Emile Zola                      ,       1,       2.0, 48.84703801370517 , 2.2950189971435506
Bérault                                ,       0,       1.0, 48.84549169626708 , 2.4292278831660283
Bobigny-Pantin - Raymond Queneau       ,       0,       2.0, 48.89560207433252 , 2.426308679232036
Bolivar                                ,       0,       2.0, 48.880789805531926, 2.374152140698752
Boulogne Pont de Saint-Cloud           ,       1,       2.0, 48.84067248206251 , 2.2283125898228056
Charenton - Ecoles                     ,       2,       2.0, 48.82125590204953 , 2.413847237068526
Couronnes                              ,       0,       2.0, 48.86932051914457 , 2.3805336747351005
Croix de Chavaux                       ,       0,       2.0, 48.857992585158016, 2.4358546126745826
Duroc                                  ,       1,       2.0, 48.84675637808778 , 2.3162247549746047
Duroc                                  ,       1,       2.0, 48.84699198555429 , 2.316535081176305
Eglise d'Auteuil                       ,       1,       2.0, 48.84714336145718 , 2.269111389021892
Exelmans                               ,       1,       2.0, 48.842624465259945, 2.25967486021195
Félix Faure                            ,       1,       1.0, 48.84268433479664 , 2.2918472203679703
Gare du Nord                           ,       0,       2.0, 48.879510553130615, 2.356768884572096
Gare du Nord                           ,       0,       2.0, 48.87968001223662 , 2.357342884924845
Jacques Bonsergent                     ,       0,       2.0, 48.87066646803471 , 2.3611315892483544
Kléber                                 ,       1,       2.0, 48.87148941293503 , 2.293146137248626
Laumière                               ,       0,          , 48.88520088689033 , 2.3793117790181
Mairie d'Aubervilliers                 ,       0,       2.0, 48.913739225808136, 2.3807826993163266
Mairie de Montrouge                    ,       1,       2.0, 48.81847190007368 , 2.319523835754741
Malakoff - Plateau de Vanves           ,       1,       1.0, 48.82220756804045 , 2.298295381702497
Malesherbes                            ,       0,       2.0, 48.88284002257779 , 2.309487846960011
Maubert - Mutualité                    ,       0,       2.0, 48.85010969451494 , 2.348219343927666
Michel Bizot                           ,       0,       1.0, 48.83707743103578 , 2.402366739988004
Pelleport                              ,       0,       2.0, 48.86842046799948 , 2.40160636134298
Philippe Auguste                       ,       0,       2.0, 48.85808942813576 , 2.390497596745289
Place des Fêtes                        ,       0,       2.0, 48.87672366197325 , 2.393139370360497
Place des Fêtes                        ,       0,       2.0, 48.87693859004261 , 2.392959616507311
Place Monge                            ,       0,       2.0, 48.842666385642886, 2.3521548685787708
Plaisance                              ,       1,       2.0, 48.83175036306747 , 2.313860489344306
Pont de Levallois - Bécon              ,       0,       1.0, 48.89722831603318 , 2.28030375318625
Pont Marie (Cité des Arts)             ,       0,       1.0, 48.85341474936241 , 2.357349968447059
Porte d'Auteuil                        ,       1,       2.0, 48.84790412362924 , 2.258280744595537
Porte de Bagnolet                      ,       0,       2.0, 48.86453937293447 , 2.4087542211895427
Porte de Champerret                    ,       0,       2.0, 48.885652393133846, 2.2921124821588448
Porte de Montreuil                     ,       0,       2.0, 48.85348263120656 , 2.410718154027495
Porte de Vanves                        ,       1,       1.0, 48.82761346400429 , 2.305332386657473
